network,station,latitude,longitude,elevation_m,start_date,end_date,duration_years
PN,PNNAF,38.333,-85.931,22.9,1999-01-01,2026-01-09,27.025192950903964
PN,PPHHS,37.972,-87.486,122.2,1999-01-01,2026-01-09,27.025192950903964
PN,PPMUN,40.201,-85.387001,280.0,1999-01-01,2026-01-09,27.025192950903964
PN,PURD,40.438,-86.946198,207.0,1999-01-10,2026-01-09,27.000552293819776
SS,NCAT,36.078957,-79.771179,243.0,2009-02-03,2026-01-09,16.93347494953504
LD,WUPA,39.932417,-75.605983,86.0,2014-07-01,2026-01-09,11.528957495736273
PE,WRPS,40.79418,-77.86532,320.0,2005-04-06,2016-01-11,10.76613288082744
PE,PAGS,40.2277,-76.7222,120.0,2009-02-12,2019-06-06,10.310098042943697
NM,CGM3,37.29775,-89.6582,148.0,2015-10-02,2026-01-09,10.272569177232965
LD,MVL,39.999395,-76.348888,106.0,2001-02-12,2011-03-16,10.08829568788501
LD,GEDE,39.811298,-75.635803,105.0,2016-02-01,2026-01-09,9.941004039199655
US,WCI,38.229,-86.2938,463.0,1996-11-06,2006-10-08,9.919233401779604
US,WVT,36.13,-87.83,153.0,1996-11-17,2006-10-08,9.88911704312115
TA,SFIN,40.379002,-87.096703,165.0,2008-10-09,2018-08-15,9.850397875630593
TA,KMSC,35.141998,-81.333298,240.0,2008-10-13,2018-08-15,9.839446472482065
LD,GCMD,39.5624,-79.3382,794.8,2018-06-26,2026-01-09,7.542646749671934
LD,WADE,38.67942,-75.249611,11.4,2018-06-27,2026-01-09,7.539908898884802
TA,L44A,42.1782,-87.911903,202.0,2011-10-10,2019-03-14,7.427323370598525
OH,M53A,41.439301,-80.675003,334.0,2018-09-28,2026-01-09,7.285288775681516
MU,P49A,39.534199,-84.7164,272.0,2018-09-28,2026-01-09,7.285288775681516
OH,P51A,39.4818,-83.060097,211.0,2018-09-28,2026-01-09,7.285288775681516
OH,O53A,40.249298,-81.212898,320.0,2018-09-28,2026-01-09,7.285288775681516
PE,PSUB,39.92726,-75.45126,110.0,2009-01-30,2015-12-31,6.918548907394732
US,YSNY,42.4758,-78.5375,628.0,1993-08-18,1999-10-01,6.119096509240246
LD,TRNY,41.145,-74.22443,270.0,2014-09-04,2020-09-03,5.9986310746064335
PE,PSWB,41.305473,-76.015182,398.0,2009-11-13,2015-10-06,5.897330563794458
TA,M53A,41.439301,-80.675003,334.0,2013-01-14,2018-09-27,5.702002053388091
US,GWDE,38.8256,-75.6171,19.0,1995-09-07,2001-05-11,5.675564681724846
TA,N59A,40.916801,-75.770302,508.0,2010-11-08,2016-04-19,5.4472678530686744
TA,M54A,41.5079,-79.664703,488.0,2010-11-04,2016-04-15,5.446802038177808
TA,O56A,40.268299,-78.566299,684.0,2010-11-05,2016-04-14,5.442790326260552
N4,M44A,41.3882,-88.0432,207.0,2013-11-08,2019-03-17,5.349891626739676
N4,X48A,34.4517,-87.0452,180.0,2013-12-16,2019-03-17,5.246685330950389
N4,P46A,39.6178,-87.2067,194.0,2013-12-20,2019-03-17,5.235385485588258
N4,152A,32.6686,-84.7188,214.0,2014-02-03,2019-03-17,5.11170938220904
N4,T45B,37.0159,-88.6459,136.0,2014-02-11,2019-03-17,5.092402464065708
PE,PSDB,41.12748,-78.75312,437.0,2010-12-21,2016-01-11,5.059293197201308
N4,U49A,36.5129,-85.7796,234.0,2014-02-24,2019-03-17,5.054866086140898
N4,W52A,35.0935,-83.9277,519.0,2014-03-11,2019-03-17,5.013640074023373
N4,V53A,35.6694,-82.8124,681.0,2014-03-14,2019-03-17,5.005718115446042
N4,T50A,37.0204,-84.8384,302.0,2014-04-17,2019-03-17,4.911742337820367
N4,S51A,37.6392,-83.5935,286.0,2014-04-21,2019-03-17,4.901844531903567
N4,R50A,38.2816,-84.3274,255.0,2014-04-23,2019-03-17,4.89614229218952
N4,R49A,38.2916,-85.1714,251.0,2014-04-23,2019-03-17,4.895782030319163
N4,P48A,39.4605,-85.4258,300.0,2014-05-02,2019-03-17,4.8709673739447865
N4,O49A,40.188,-84.3353,292.0,2014-05-08,2019-03-17,4.854411076887977
N4,N49A,40.922,-84.1825,225.0,2014-05-11,2019-03-17,4.847022270388115
N4,N47A,40.8801,-85.6942,252.0,2014-05-12,2019-03-17,4.843994853854539
N4,M50A,41.4035,-83.0428,176.0,2014-05-14,2019-03-17,4.838535978654904
N4,Y52A,33.864,-84.0626,286.0,2014-05-25,2019-03-17,4.808661083225594
N4,L48A,41.943802,-84.432899,369.0,2014-05-23,2019-02-21,4.751155125865084
N4,V52A,35.841702,-83.595901,328.0,2014-03-08,2018-08-20,4.451965833903719
N4,N53A,40.8065,-80.8377,360.0,2014-10-24,2019-03-17,4.392532543666185
N4,M52A,41.5405,-81.357,382.0,2014-10-28,2019-03-17,4.381533956954901
N4,N51A,40.9183,-82.3748,343.0,2014-11-03,2019-03-17,4.364643223819302
N4,O54A,40.1821,-80.3778,357.0,2014-11-24,2019-03-17,4.30742737090273
LD,BNY,42.089323,-75.970892,292.0,2015-10-13,2020-01-30,4.2967145790554415
N4,O52A,40.1158,-81.8361,331.0,2014-12-01,2019-03-17,4.288299522143636
N4,Q52A,38.9622,-82.2669,228.0,2014-12-01,2019-03-17,4.288299522143636
PE,UPAO,40.48253,-80.02056,274.0,2009-07-30,2013-11-05,4.27028455902857
N4,Q54A,38.9836,-80.8338,254.0,2014-12-08,2019-03-17,4.269008289603772
N4,Y57A,34.017,-80.3915,56.0,2015-01-21,2019-03-17,4.148755672167718
N4,Y58A,33.9057,-79.6665,19.0,2015-01-25,2019-03-17,4.137390169087636
N4,Y60A,34.0046,-78.2163,7.0,2015-01-30,2019-03-17,4.124122651912693
N4,W57A,35.1529,-79.9928,85.0,2015-01-30,2019-03-17,4.1235602517301695
N4,V61A,35.7912,-76.5776,4.0,2015-02-02,2019-03-17,4.115967342256699
N4,T59A,36.9716,-77.5541,63.0,2015-02-04,2019-03-17,4.1103332319314525
N4,V58A,35.794,-79.115,127.0,2015-02-05,2019-03-17,4.107280052982483
N4,S61A,37.6804,-75.6727,58.0,2015-02-09,2019-03-17,4.096164220346288
N4,R61A,38.3303,-75.339,76.0,2015-02-09,2019-03-17,4.096164220346288
N4,P61A,39.6734,-74.7919,22.0,2015-02-12,2019-03-17,4.088147419322128
N4,T57A,36.9983,-79.2538,230.0,2015-03-18,2019-03-17,3.995346255735544
N4,V51A,35.803299,-84.351097,243.0,2014-03-10,2018-03-07,3.9914670000253505
N4,U56A,36.3472,-80.3829,363.0,2015-04-13,2019-03-17,3.924190115851649
N4,U54A,36.5209,-81.8204,837.0,2015-04-13,2019-03-17,3.9241406190584835
N4,S57A,37.7605,-78.9536,264.0,2015-04-28,2019-03-17,3.883377316399219
N4,R58B,37.9636,-77.8787,116.0,2015-04-28,2019-03-17,3.883377316399219
N4,S54A,37.7997,-81.3114,636.0,2015-04-28,2019-03-17,3.883183290237534
OH,P52A,39.633701,-82.1325,293.0,2018-09-28,2022-08-11,3.869952087611225
N4,P57A,39.4835,-78.0126,191.0,2015-05-05,2019-03-17,3.8636607980328037
N4,N58A,40.8396,-76.7158,200.0,2015-05-14,2019-03-17,3.8394377899460035
N4,M57A,41.3372,-77.128,319.0,2015-05-18,2019-03-17,3.82853705604989
Z9,W15A,32.138,-83.898499,102.8,2010-07-18,2014-05-14,3.822811620655563
N4,P51A,39.4818,-83.060097,211.0,2014-12-01,2018-09-27,3.8226652533779504
N4,L59A,42.1902,-75.0426,677.0,2015-06-11,2019-03-17,3.7644231500494336
N4,L56A,42.1365,-77.5591,688.0,2015-06-15,2019-03-17,3.7519226430400283
N4,R55A,38.2825,-80.1195,833.0,2015-05-01,2018-11-30,3.5823215010013434
N4,Q56A,39.0401,-79.1871,430.0,2015-05-05,2018-11-17,3.5354817856871246
Z9,W23,32.523399,-83.886002,158.8,2010-07-19,2013-10-19,3.2532188759601492
Z9,W14,32.0938,-83.898697,965.7,2010-07-18,2013-10-18,3.252956498593049
N4,U59A,36.3526,-77.792503,99.0,2015-02-02,2018-03-13,3.1072971645499026
TA,O48B,40.257099,-85.155296,300.0,2016-01-12,2019-02-12,3.0876120173904225
LM,L48A,41.9438,-84.4329,369.0,2019-01-29,2022-02-09,3.033328801936776
Z9,W27,32.9174,-83.923401,163.6,2011-05-10,2014-05-13,3.00927446954141
Z9,D15,34.449799,-83.2799,254.1,2011-05-16,2014-05-19,3.0092212335538826
Z9,D14,34.376499,-83.181099,210.9,2011-05-16,2014-05-19,3.008960757472051
Z9,W33,34.654701,-83.886002,533.4,2011-05-16,2014-05-19,3.0082344664993537
Z9,W32,34.465698,-83.865799,396.1,2011-05-17,2014-05-20,3.008169822800213
Z9,W16,32.179401,-83.884102,114.7,2011-05-11,2014-05-14,3.0080424366872007
Z9,W19,32.313202,-83.906403,118.6,2011-05-11,2014-05-13,3.006827452024235
Z9,W21,32.403999,-83.858704,130.8,2011-05-11,2014-05-13,3.0062495246786827
Z9,W35,34.9762,-83.943802,539.0,2011-05-17,2014-05-19,3.006042284584379
Z9,W29,33.456799,-83.728798,193.4,2011-05-19,2014-05-20,3.0038520039546732
Z9,D02,33.604099,-82.282799,123.5,2011-05-18,2014-05-17,2.9980625903110503
6E,WB08,38.8009,-88.807098,175.0,2013-10-22,2016-10-20,2.997946580221563
Z9,W13,32.055,-83.893303,107.3,2011-05-16,2014-05-14,2.9951079930032702
N4,T60A,37.139702,-76.734901,11.0,2015-04-23,2018-03-15,2.8937803571881258
SP,AGBLF,33.395,-81.758011,118.0,2001-09-11,2004-06-30,2.8007072781200093
SP,RUFIN,33.012249,-80.806534,23.8,2001-09-11,2004-06-30,2.8007072781200093
SP,GREEN,34.23,-82.174301,182.9,2001-09-11,2004-06-30,2.8007072781200093
SP,BTRCK,32.431999,-80.747597,3.0,2001-09-11,2004-06-30,2.8007072781200093
SP,BRNCH,33.246498,-80.790398,53.0,2001-09-11,2004-06-30,2.8007072781200093
SP,BBLV,33.923401,-81.534698,198.1,2001-09-11,2004-06-30,2.8007072781200093
SP,JAMES,32.731098,-79.932899,7.0,2001-09-11,2004-06-30,2.8007072781200093
SP,TIMBR,33.335701,-79.890701,12.2,2001-09-11,2004-06-30,2.8007072781200093
SP,DWDAN,34.7388,-82.830803,286.5,2001-09-11,2004-06-30,2.8007072781200093
SP,DFORK,34.153099,-81.200302,91.4,2001-09-17,2004-06-30,2.7842801733972165
SP,LGELG,34.21751,-80.709221,64.0,2001-09-17,2004-06-30,2.7842801733972165
SP,WOAK,34.621471,-83.052193,268.2,2001-09-17,2004-06-30,2.7842801733972165
XQ,NC04,35.554001,-79.242401,92.0,2012-03-25,2014-12-31,2.7707049648895987
XQ,NC07,35.470001,-79.379898,99.0,2012-03-25,2014-12-31,2.7707049648895987
XQ,NC03,35.5373,-79.303802,100.0,2012-03-25,2014-12-31,2.7707049648895987
XQ,NC10,35.472099,-79.217903,123.0,2012-03-25,2014-12-31,2.7707049648895987
XQ,NC02,35.562099,-79.468597,147.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC11,35.407299,-79.283203,155.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC01,35.622101,-79.200996,107.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC05,35.5336,-79.201401,98.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC09,35.4505,-79.281898,121.0,2012-03-26,2014-12-31,2.7679671141024667
XQ,NC12,35.384701,-79.2435,136.0,2012-03-27,2014-12-31,2.7652292633153346
XQ,NC08,35.4678,-79.313103,106.0,2012-03-27,2014-12-31,2.7652292633153346
TA,P60A,39.811298,-75.635803,105.0,2013-04-28,2016-02-01,2.7642653433721196
TA,R58B,37.9636,-77.8787,116.0,2012-08-02,2015-04-28,2.736745886886202
XQ,NC06,35.5256,-79.016899,84.0,2012-04-07,2014-12-31,2.7351129046568814
TA,M51A,41.3321,-82.183098,239.0,2012-08-29,2015-05-15,2.7092079245570004
SP,EDGE,33.807301,-81.862999,217.0,2001-10-22,2004-06-30,2.688455395847593
TA,Q61A,38.879902,-75.3256,5.0,2013-05-28,2016-02-01,2.6821298197581567
6E,WB45,37.723099,-86.522598,176.0,2014-05-08,2016-12-31,2.6529773810429185
6E,WB42,37.897499,-86.824799,147.0,2014-05-09,2016-12-31,2.6502395302557864
6E,WB44,37.798599,-86.614098,221.0,2014-05-09,2016-12-31,2.6502395302557864
6E,WB37,38.120098,-87.286201,149.0,2014-05-11,2016-12-31,2.644763828681522
6E,WB38,38.069302,-87.209801,128.0,2014-05-11,2016-12-31,2.644763828681522
6E,WB33,38.216,-87.522301,140.0,2014-05-12,2016-12-31,2.6420259778943898
6E,WB34,38.187801,-87.459702,138.0,2014-05-12,2016-12-31,2.6420259778943898
6E,WB26,38.377602,-87.855103,129.0,2014-05-13,2016-12-31,2.6392881271072577
6E,WB32,38.237999,-87.564903,159.0,2014-05-13,2016-12-31,2.6392881271072577
6E,WB28,38.3466,-87.732903,123.0,2014-05-14,2016-12-31,2.6365502763201256
6E,WB30,38.279301,-87.658897,143.0,2014-05-14,2016-12-31,2.6365502763201256
6E,WB29,38.315102,-87.714203,127.0,2014-05-15,2016-12-31,2.6338124255329936
SP,CLINT,34.481098,-81.862801,199.0,2001-11-13,2004-06-30,2.628222678530687
LD,FMPA,40.0478,-76.3208,121.0,2005-02-22,2007-10-02,2.60619042639491
TA,S44A,37.6936,-89.255096,155.0,2011-05-20,2013-12-16,2.5780914898471368
Z9,W31,33.972198,-83.738503,292.0,2011-10-21,2014-05-19,2.576287170127006
Z9,D13,34.2943,-83.166199,200.0,2011-10-22,2014-05-19,2.574399193855046
SP,CLOVE,35.096909,-81.184212,227.0,2002-01-15,2004-06-30,2.4557380789413643
6E,WB11,38.716999,-88.609901,132.0,2013-05-31,2015-11-12,2.453114273582275
6E,WB15,38.627998,-88.409599,102.0,2013-06-06,2015-11-12,2.4366871688594824
SP,BLACK,33.363998,-81.263451,94.0,2002-02-15,2004-06-30,2.3708647045402693
TA,P51A,39.4818,-83.060097,211.0,2012-07-23,2014-12-01,2.3592021890131063
SP,ACFLR,34.016529,-80.982887,91.4,2001-09-17,2004-01-24,2.353517377747357
TA,L53A,41.953899,-80.259804,355.0,2013-01-16,2015-05-15,2.3267834055821734
TA,R54A,38.190899,-80.990402,512.0,2013-01-12,2015-04-27,2.2880827439349
SP,ANDY,33.460739,-79.571518,49.0,2002-03-18,2004-06-30,2.285991330139174
TA,O52A,40.115799,-81.836098,331.0,2012-08-25,2014-12-01,2.2688531130377467
TA,Q52A,38.9622,-82.266899,228.0,2012-08-26,2014-12-01,2.2661152622506147
TA,O51A,40.146999,-82.605598,380.0,2012-08-24,2014-11-27,2.2605806525211043
TA,P53A,39.486801,-81.389603,270.0,2012-08-27,2014-11-24,2.2442495627043884
TA,P43A,39.6409,-89.521301,176.0,2011-08-16,2013-11-08,2.233955021928157
6E,WB46,38.410999,-87.752899,129.0,2014-10-24,2016-12-31,2.1902805980175932
TA,N51A,40.918301,-82.374802,343.0,2012-08-28,2014-11-03,2.1842958590006845
TA,Q53A,38.858601,-81.525101,310.0,2013-02-27,2015-04-29,2.1673986614951706
TA,P46A,39.617802,-87.206703,194.0,2011-10-22,2013-12-20,2.1650251603417243
TA,Y52A,33.863998,-84.062599,286.0,2012-04-08,2014-05-25,2.129052811367151
TA,U54A,36.520901,-81.820396,837.0,2013-02-28,2015-04-13,2.121033918929196
TA,L58A,42.044701,-75.850197,447.0,2013-07-03,2015-08-08,2.0991140010647196
TA,S57A,37.760502,-78.953598,264.0,2013-03-28,2015-04-28,2.0851373995487616
TA,T56A,37.028801,-80.031097,387.0,2013-03-16,2015-04-12,2.074131112632139
TA,S56A,37.677101,-79.5662,449.0,2013-04-03,2015-04-30,2.074112099779451
TA,T58A,36.9454,-78.533798,167.0,2013-03-18,2015-04-13,2.0716879610616776
TA,O44A,40.152599,-88.467102,213.0,2011-10-15,2013-11-08,2.0696839747002307
TA,W56A,35.134998,-80.582802,177.0,2013-03-08,2015-04-02,2.068864552437448
TA,X60A,34.577301,-77.976799,12.0,2013-03-10,2015-04-04,2.068864552437448
TA,O59A,40.311401,-76.185898,334.0,2013-04-28,2015-05-21,2.063407863715872
6E,WB23,38.448399,-88.0047,123.0,2013-10-22,2015-11-12,2.058863760235252
TA,V59A,35.7649,-78.239403,58.0,2013-03-12,2015-04-01,2.055527036276523
TA,M44A,41.388199,-88.043198,207.0,2011-10-21,2013-11-08,2.0532568699774383
Z9,W315,34.177898,-83.853104,334.6,2012-05-02,2014-05-20,2.0476138869876035
TA,X59A,34.571999,-78.602303,29.0,2013-02-10,2015-02-27,2.04709483610921
TA,X57A,34.464298,-80.094002,133.0,2013-02-09,2015-02-25,2.044328466043045
TA,L42A,42.004002,-89.667,257.0,2011-11-05,2013-11-19,2.04243665551246
TA,P59A,39.6101,-76.432701,157.0,2013-04-27,2015-05-12,2.0415145638451593
Z9,D06,33.859001,-82.630402,152.2,2012-05-04,2014-05-19,2.039598068294167
Z9,D03,33.659401,-82.388397,129.5,2012-05-04,2014-05-17,2.034631911171952
Z9,D07,33.937599,-82.686401,140.2,2012-05-04,2014-05-17,2.0340520191649554
Z9,E31,32.986599,-82.107002,77.6,2012-05-05,2014-05-17,2.0312913529545975
Z9,E30,32.695801,-82.1091,98.4,2012-05-05,2014-05-17,2.0312666362461025
Z9,E28,32.335899,-82.096703,68.3,2012-05-05,2014-05-17,2.0309681344588943
TA,S59A,37.762001,-77.294197,40.0,2013-04-12,2015-04-23,2.03033500646437
TA,U58A,36.394402,-78.549301,169.0,2013-03-21,2015-04-01,2.0303255000380256
Z9,E27,32.236198,-82.1091,76.9,2012-05-06,2014-05-17,2.0289318579359645
Z9,E26,32.0979,-82.099098,66.1,2012-05-06,2014-05-17,2.0287398281238116
TA,V56A,35.8097,-80.4963,237.0,2013-03-24,2015-04-03,2.028196060536923
TA,Q57A,39.035301,-78.410698,324.0,2013-04-25,2015-05-05,2.0276637006616474
Z9,D20,35.074001,-83.980301,478.3,2012-05-10,2014-05-19,2.025745303825386
Z9,D22,35.462898,-84.458801,272.3,2012-05-09,2014-05-19,2.025528557304738
Z9,E29,32.490799,-82.103203,79.4,2012-05-07,2014-05-17,2.025252870940756
Z9,D19,34.872101,-83.733803,665.0,2012-05-10,2014-05-20,2.024927751159784
Z9,D21,35.199699,-84.136902,526.4,2012-05-10,2014-05-19,2.0237337440109515
Z9,D18,34.7342,-83.612099,486.8,2012-05-11,2014-05-20,2.023458057646969
TA,S60A,37.705502,-76.653503,36.0,2013-04-15,2015-04-23,2.022691839683626
TA,Z59A,33.241402,-79.278,8.0,2013-02-23,2015-03-03,2.0226157882728724
XO,LG19,37.595699,-89.045898,206.8,2011-07-18,2013-07-24,2.018024152660532
6E,WB21,38.4907,-88.109001,132.0,2014-04-26,2016-05-01,2.0177959984282707
TA,V48A,35.740002,-86.821899,278.0,2011-12-11,2013-12-16,2.016832046796968
TA,R59A,38.2005,-77.116402,35.0,2013-04-16,2015-04-21,2.0146494029964255
TA,S45A,37.677399,-88.580399,122.0,2011-05-19,2013-05-22,2.0114647501711156
TA,R60A,38.268398,-76.580704,33.0,2013-04-18,2015-04-22,2.0110939995436916
Z9,D04,33.730099,-82.451797,127.6,2012-05-15,2014-05-19,2.0088333713590387
TA,X48A,34.451698,-87.045197,180.0,2011-12-14,2013-12-16,2.0086192232615914
XO,LG21,37.669102,-88.794098,145.0,2011-07-21,2013-07-23,2.0079853664410474
TA,R57A,38.297001,-78.523201,230.0,2013-04-25,2015-04-27,2.0063122670925546
TA,X53A,34.503101,-83.3013,240.0,2012-04-11,2014-04-13,2.005874971480721
7A,NAZF,39.380199,-80.639801,0.0,2014-10-23,2016-10-24,2.004848245747459
TA,T57A,36.998299,-79.253799,230.0,2013-03-17,2015-03-18,2.00328481887089
7A,MUSK,39.997601,-81.736801,0.0,2014-10-24,2016-10-24,2.002414600603341
7A,PETO,39.160198,-80.329498,0.0,2014-10-24,2016-10-24,2.0023385491925874
7A,CDRF,39.455502,-81.052399,282.0,2014-10-24,2016-10-24,2.0018822407280656
7A,PVGR,39.571499,-81.382103,0.0,2014-10-24,2016-10-24,2.0017111250538697
7A,AZZI,40.366402,-82.919098,294.0,2014-10-25,2016-10-24,2.0013688937054783
